"기관명","소계","방범용","도시공원, 놀이터","어린이 보호","쓰레기 무단투기","시설안전 화재예방","교통 단속","교통정보수집?분석","기타 법령"
"강남구","6191","4163","483","742","0","80","571","0","152"
"강동구","2177","1739","159","210","0","0","69","0","0"
"강북구","2300","1676","185","319","0","30","90","0","0"
"강서구","2099","1655","133","215","28","0","68","0","0"
"관악구","4637","2986","279","416","133","642","181","0","0"
"광진구","2402","1857","69","240","71","99","66","0","0"
"구로구","3736","2392","362","518","30","115","227","0","92"
"금천구","1991","1452","154","259","41","0","85","0","0"
"노원구","2084","1178","178","374","127","91","136","0","0"
"도봉구","951","618","120","97","0","31","85","0","0"
"동대문","2315","1682","174","282","28","1","134","0","14"
"동작구","2022","1428","116","354","19","59","41","0","5"
"마포구","2181","1745","133","184","0","0","119","0","0"
"서대문","2658","1606","497","135","0","83","305","0","32"
"서초구","3361","2368","157","214","0","119","304","0","199"
"성동구","3202","2550","164","0","151","15","322","0","0"
"성북구","3538","2332","180","389","388","76","173","0","0"
"송파구","2407","1340","433","288","0","79","267","0","0"
"양천구","3077","1932","237","759","0","0","149","0","0"
"영등포","3595","2604","173","257","53","7","501","0","0"
"용산구","2195","1570","143","202","0","0","209","0","71"
"은평구","3467","2254","396","607","0","117","93","0","0"
"종로구","1628","1261","109","41","0","110","107","0","0"
"중구","2001","1180","165","75","62","221","290","8","0"
"중랑구","2387","1991","140","141","11","54","50","0","0"