시도명,시도코드,시군구명,시군구코드,시군구_x,시군구_y
서울특별시,11,종로구,11110,954859.306142,1953755.1375419998
서울특별시,11,중구,11140,955931.02785,1951525.9952900002
서울특별시,11,용산구,11170,954122.014984,1948855.182637
서울특별시,11,성동구,11200,959571.250766,1950600.863082
서울특별시,11,광진구,11215,963032.4666309999,1949995.741229
서울특별시,11,동대문구,11230,960510.830926,1953848.3319740002
서울특별시,11,중랑구,11260,963545.305543,1955036.9571919998
서울특별시,11,성북구,11290,958210.2439049999,1955922.7415830002
서울특별시,11,강북구,11305,957821.0965030001,1959252.104718
서울특별시,11,도봉구,11320,959131.2116350001,1962256.032125
서울특별시,11,노원구,11350,962276.7245280001,1961092.7201259998
서울특별시,11,은평구,11380,948688.110742,1956680.0363130001
서울특별시,11,서대문구,11410,950330.745599,1953108.944731
서울특별시,11,마포구,11440,949324.897609,1950725.438059
서울특별시,11,양천구,11470,942730.539401,1947986.407955
서울특별시,11,강서구,11500,941591.5429069999,1950249.3973259998
서울특별시,11,구로구,11530,943944.566884,1944160.0192779999
서울특별시,11,금천구,11545,947097.5630950001,1940589.559356
서울특별시,11,영등포구,11560,947363.966443,1945968.514766
서울특별시,11,동작구,11590,951293.7702469999,1944429.716521
서울특별시,11,관악구,11620,950227.9620950001,1942291.412601
서울특별시,11,서초구,11650,956914.1452870001,1942981.357213
서울특별시,11,강남구,11680,959987.6824930001,1945048.0415810002
서울특별시,11,송파구,11710,966340.0078280001,1945036.409605
서울특별시,11,강동구,11740,968056.650466,1949402.812965
부산광역시,26,중구,26110,1139440.054414,1679948.521735
부산광역시,26,서구,26140,1138335.854809,1679378.427124
부산광역시,26,동구,26170,1140768.9605049998,1682762.133618
부산광역시,26,영도구,26200,1141653.5153299998,1677999.390127
부산광역시,26,부산진구,26230,1141114.836259,1686086.420358
부산광역시,26,동래구,26260,1144267.820728,1690996.668659
부산광역시,26,남구,26290,1144538.423981,1682775.149841
부산광역시,26,북구,26320,1137730.5531799998,1691784.888664
부산광역시,26,해운대구,26350,1150158.327875,1690259.889783
부산광역시,26,사하구,26380,1135116.737038,1678166.6557540002
부산광역시,26,금정구,26410,1145147.4853059999,1695064.603333
부산광역시,26,강서구,26440,1128450.9612399999,1685024.837385
부산광역시,26,연제구,26470,1144446.5480709998,1688598.793095
부산광역시,26,수영구,26500,1146854.25481,1686601.576718
부산광역시,26,사상구,26530,1135444.400787,1685837.006268
부산광역시,26,기장군,26710,1156035.493215,1700568.7057989999
대구광역시,27,중구,27110,1098782.2679370001,1763838.909914
대구광역시,27,동구,27140,1104646.516802,1766989.9003650001
대구광역시,27,서구,27170,1095852.652827,1764727.404064
대구광역시,27,남구,27200,1097780.8163969999,1761409.820613
대구광역시,27,북구,27230,1097759.047998,1768274.0053959999
대구광역시,27,수성구,27260,1102535.817885,1761643.6656880002
대구광역시,27,달서구,27290,1093399.08833,1760744.0196330003
대구광역시,27,달성군,27710,1087421.63328,1752585.939941
인천광역시,28,중구,28110,916860.290466,1941823.2640330002
인천광역시,28,동구,28140,923883.9415040001,1942477.5513950002
인천광역시,28,미추홀구,28177,926342.62727,1939961.939455
인천광역시,28,연수구,28185,926149.2949950001,1935634.423309
인천광역시,28,남동구,28200,930614.07789,1937869.603024
인천광역시,28,부평구,28237,930847.794199,1944510.772993
인천광역시,28,계양구,28245,931943.6969030001,1949742.0719830003
인천광역시,28,서구,28260,925915.042204,1950010.5616970002
인천광역시,28,강화군,28710,905494.624381,1968793.9452650002
인천광역시,28,옹진군,28720,848218.697911,1949466.62137
광주광역시,29,동구,29110,947828.70164,1683473.561422
광주광역시,29,서구,29140,942460.4236,1683764.097864
광주광역시,29,남구,29155,944368.138293,1681302.998982
광주광역시,29,북구,29170,945888.616116,1687785.660162
광주광역시,29,광산구,29200,934990.848994,1685977.316747
대전광역시,30,동구,30110,995187.696036,1814799.674373
대전광역시,30,중구,30140,992295.0721610001,1813065.8547389999
대전광역시,30,서구,30170,988226.246303,1813587.2832689998
대전광역시,30,유성구,30200,985543.156576,1818762.2446169998
대전광역시,30,대덕구,30230,993332.7053319999,1821612.679567
울산광역시,31,중구,31110,1165081.969085,1731128.811836
울산광역시,31,남구,31140,1165272.885575,1727249.598015
울산광역시,31,동구,31170,1174535.587055,1724852.8554669998
울산광역시,31,북구,31200,1169497.5777379998,1735602.0274959998
울산광역시,31,울주군,31710,1154842.628296,1726626.9332040001
세종특별자치시,36,세종시,36110,979272.7761489999,1841076.296891
경기도,41,장안구,41111,955953.343994,1922410.274406
경기도,41,권선구,41113,955068.133605,1918092.4547189998
경기도,41,팔달구,41115,957167.246874,1919943.4887740002
경기도,41,영통구,41117,960536.3294870001,1918639.359489
경기도,41,수정구,41131,967754.795165,1938457.5330939998
경기도,41,중원구,41133,969630.6669530001,1937850.0930439997
경기도,41,분당구,41135,965893.4903889999,1931305.907927
경기도,41,의정부시,41150,960806.1769020001,1971163.424604
경기도,41,만안구,41171,948324.839,1933618.7717
경기도,41,동안구,41173,952038.91695,1932876.369487
경기도,41,부천시,41190,937054.8191190001,1944716.1615060002
경기도,41,광명시,41210,943566.483226,1940544.652766
경기도,41,평택시,41220,957047.0002059999,1891512.9153830002
경기도,41,동두천시,41250,961152.406356,1990280.897441
경기도,41,상록구,41271,943695.642278,1923760.580097
경기도,41,단원구,41273,932596.680716,1922749.189097
경기도,41,덕양구,41281,943807.3578260001,1961746.3027419997
경기도,41,일산동구,41285,938084.00892,1964935.7958630002
경기도,41,일산서구,41287,932632.931882,1965418.062324
경기도,41,과천시,41290,955921.6121120001,1937550.396959
경기도,41,구리시,41310,967807.834503,1956074.515454
경기도,41,남양주시,41360,976168.84371,1961760.3319189998
경기도,41,오산시,41370,960922.791523,1906738.521862
경기도,41,시흥시,41390,935848.508316,1932295.770614
경기도,41,군포시,41410,950335.415611,1928593.037748
경기도,41,의왕시,41430,953425.514133,1928526.675321
경기도,41,하남시,41450,973194.54125,1947915.0184459998
경기도,41,처인구,41461,977220.4794540001,1913440.816526
경기도,41,기흥구,41463,966089.293669,1918925.503248
경기도,41,수지구,41465,962810.7906559999,1926119.7316279998
경기도,41,파주시,41480,938940.54574,1978949.4445
경기도,41,이천시,41500,998316.701366,1914167.526915
경기도,41,안성시,41550,981177.917333,1892640.30062
경기도,41,김포시,41570,923330.425481,1962999.78675
경기도,41,화성시,41590,945836.3134790001,1907096.4226689998
경기도,41,광주시,41610,980427.106256,1931923.511248
경기도,41,양주시,41630,957004.926858,1980662.9315919997
경기도,41,포천시,41650,975917.981408,1991159.0437
경기도,41,여주시,41670,1009523.694513,1922107.634961
경기도,41,연천군,41800,959557.883025,2006812.044482
경기도,41,가평군,41820,995306.093884,1976453.609195
경기도,41,양평군,41830,1003578.1901680001,1945168.725368
강원도,42,춘천시,42110,1019699.1666450001,1986527.456235
강원도,42,원주시,42130,1038259.081735,1925614.8404400002
강원도,42,강릉시,42150,1121919.635506,1975137.620221
강원도,42,동해시,42170,1141626.640994,1947934.019959
강원도,42,태백시,42190,1132828.31546,1907093.706548
강원도,42,속초시,42210,1094706.235814,2022422.02815
강원도,42,삼척시,42230,1147928.598361,1927392.866879
강원도,42,홍천군,42720,1038794.8252389999,1968162.6812900002
강원도,42,횡성군,42730,1049973.329747,1944643.5438380002
강원도,42,영월군,42750,1082594.941976,1912965.7834009998
강원도,42,평창군,42760,1085182.243469,1948203.758746
강원도,42,정선군,42770,1109438.913224,1929578.855571
강원도,42,철원군,42780,983698.351149,2023095.1706240003
강원도,42,화천군,42790,1014543.952333,2011513.851279
강원도,42,양구군,42800,1044844.006559,2016150.571779
강원도,42,인제군,42810,1064647.1044120002,2006476.9556200001
강원도,42,고성군,42820,1085347.963883,2040936.5597509998
강원도,42,양양군,42830,1100230.634564,2006125.349394
충청북도,43,상당구,43111,1003933.615117,1845529.925319
충청북도,43,서원구,43112,996251.196095,1843648.954312
충청북도,43,흥덕구,43113,991061.6389049999,1848874.6289439998
충청북도,43,청원구,43114,999226.842231,1856102.57885
충청북도,43,충주시,43130,1034219.9433459999,1889653.025356
충청북도,43,제천시,43150,1060205.634879,1900880.5287759998
충청북도,43,보은군,43720,1020616.018703,1831296.83233
충청북도,43,옥천군,43730,1011912.281747,1812526.690481
충청북도,43,영동군,43740,1027676.246091,1797573.8810389999
충청북도,43,증평군,43745,1008639.879418,1865314.861272
충청북도,43,진천군,43750,995780.6954940001,1875621.377759
충청북도,43,괴산군,43760,1026642.2774450001,1865286.41717
충청북도,43,음성군,43770,1008709.1569559999,1887095.7457299998
충청북도,43,단양군,43800,1077028.867283,1890074.306623
충청남도,44,동남구,44131,973792.1149690001,1863772.9355669997
충청남도,44,서북구,44133,968979.888192,1876057.8125220002
충청남도,44,공주시,44150,963051.5657469999,1830176.621866
충청남도,44,보령시,44180,917599.592705,1816637.332163
충청남도,44,아산시,44200,954896.6674479999,1868182.2274689998
충청남도,44,서산시,44210,907834.2949870001,1865699.014182
충청남도,44,논산시,44230,966104.2418610001,1799179.1842709999
충청남도,44,계룡시,44250,976984.352802,1808401.5723150002
충청남도,44,당진시,44270,928108.173425,1876138.9516389999
충청남도,44,금산군,44710,998090.980733,1792239.5783990002
충청남도,44,부여군,44760,943730.8481879999,1805343.6428939998
충청남도,44,서천군,44770,927776.167713,1788326.185122
충청남도,44,청양군,44790,941312.662313,1825860.350968
충청남도,44,홍성군,44800,922994.7152120001,1841815.435488
충청남도,44,예산군,44810,935586.598684,1854220.9075029998
충청남도,44,태안군,44825,891112.533117,1856178.5099060002
전라북도,45,완산구,45111,966486.37729,1757072.8659990001
전라북도,45,덕진구,45113,965851.6755809999,1761595.592324
전라북도,45,군산시,45130,930618.499379,1774249.7933900002
전라북도,45,익산시,45140,953037.9781399999,1777857.923259
전라북도,45,정읍시,45180,943694.269568,1735309.928484
전라북도,45,남원시,45190,992162.947567,1713957.7417610001
전라북도,45,김제시,45210,946242.613675,1757228.5857900002
전라북도,45,완주군,45710,970311.777301,1768285.947741
전라북도,45,진안군,45720,993234.560115,1756785.469523
전라북도,45,무주군,45730,1018074.45001,1772111.810154
전라북도,45,장수군,45740,1003104.646499,1741260.908858
전라북도,45,임실군,45750,977954.816201,1733094.281411
전라북도,45,순창군,45770,965235.788049,1712372.774376
전라북도,45,고창군,45790,920265.4967450001,1717127.8034350001
전라북도,45,부안군,45800,925154.5103440001,1743514.3103349998
전라남도,46,목포시,46110,898694.9987450001,1645678.369851
전라남도,46,여수시,46130,1016010.45501,1636829.544139
전라남도,46,순천시,46150,995201.849866,1663530.58427
전라남도,46,나주시,46170,928657.554874,1667467.016332
전라남도,46,광양시,46230,1014090.54334,1666012.918942
전라남도,46,담양군,46710,952861.1558879999,1699554.930827
전라남도,46,곡성군,46720,977126.6525059999,1693231.7246969999
전라남도,46,구례군,46730,998187.814206,1692718.699549
전라남도,46,고흥군,46770,981173.9469280001,1623428.188859
전라남도,46,보성군,46780,971499.0425459999,1645543.581775
전라남도,46,화순군,46790,955362.9614110001,1668976.960648
전라남도,46,장흥군,46800,947850.579863,1625902.666259
전라남도,46,강진군,46810,933399.0453209999,1625395.283048
전라남도,46,해남군,46820,910004.599549,1616643.729789
전라남도,46,영암군,46830,919146.9092100001,1645804.108953
전라남도,46,무안군,46840,902144.227303,1662299.0244389998
전라남도,46,함평군,46860,912298.0647229999,1679285.23566
전라남도,46,영광군,46870,905180.487836,1699418.406091
전라남도,46,장성군,46880,933911.061732,1701811.5114129998
전라남도,46,완도군,46890,933438.747175,1590185.958445
전라남도,46,진도군,46900,883416.6370819999,1606100.7479690001
전라남도,46,신안군,46910,870003.290973,1648953.504354
경상북도,47,남구,47111,1173823.9415799999,1778335.7734
경상북도,47,북구,47113,1162254.982742,1792116.545818
경상북도,47,경주시,47130,1157199.494206,1761313.169414
경상북도,47,김천시,47150,1055042.0220940001,1789723.375178
경상북도,47,안동시,47170,1109243.579295,1843245.8962349999
경상북도,47,구미시,47190,1076968.945899,1797735.88409
경상북도,47,영주시,47210,1098250.2970059998,1872531.9393810001
경상북도,47,영천시,47230,1128591.687059,1777289.013408
경상북도,47,상주시,47250,1055176.3699989999,1825781.9310830003
경상북도,47,문경시,47280,1059469.912926,1850753.4614099998
경상북도,47,경산시,47290,1117131.179642,1761795.2681900002
경상북도,47,군위군,47720,1101554.6027040002,1798279.797343
경상북도,47,의성군,47730,1098797.0105680001,1817972.041548
경상북도,47,청송군,47750,1138046.3880049998,1821042.961916
경상북도,47,영양군,47760,1144745.992376,1852540.891439
경상북도,47,영덕군,47770,1167113.3538870001,1830567.7593470002
경상북도,47,청도군,47820,1112194.5208110001,1741678.215014
경상북도,47,고령군,47830,1073126.990828,1749351.412584
경상북도,47,성주군,47840,1069446.4578,1768325.326862
경상북도,47,칠곡군,47850,1084338.460652,1780202.620894
경상북도,47,예천군,47900,1081618.539276,1849030.675457
경상북도,47,봉화군,47920,1119856.24681,1879954.4585
경상북도,47,울진군,47930,1168689.503934,1879018.725025
경상북도,47,울릉군,47940,1298562.091581,1949442.161525
경상남도,48,의창구,48121,1104882.617026,1700400.363757
경상남도,48,성산구,48123,1106966.604015,1691548.6556469998
경상남도,48,마산합포구,48125,1093385.7570729998,1685302.4185229999
경상남도,48,마산회원구,48127,1097065.44596,1693815.0479700002
경상남도,48,진해구,48129,1110397.16085,1683194.918183
경상남도,48,진주시,48170,1057251.6422,1688931.831365
경상남도,48,통영시,48220,1082114.1765299998,1649510.583576
경상남도,48,사천시,48240,1050951.902273,1668976.1555909999
경상남도,48,김해시,48250,1121782.530747,1697337.9788
경상남도,48,밀양시,48270,1114890.300366,1721239.5347439998
경상남도,48,거제시,48310,1103456.627662,1654861.005856
경상남도,48,양산시,48330,1142283.569362,1711153.659994
경상남도,48,의령군,48720,1071181.664955,1710254.8398520001
경상남도,48,함안군,48730,1084448.5349680001,1700529.943025
경상남도,48,창녕군,48740,1089535.519474,1723360.8817389999
경상남도,48,고성군,48820,1073551.297692,1668652.974289
경상남도,48,남해군,48840,1039329.086023,1648266.968013
경상남도,48,하동군,48850,1027321.003901,1678038.298693
경상남도,48,산청군,48860,1036996.120951,1708387.2350030001
경상남도,48,함양군,48870,1021646.345617,1728149.213808
경상남도,48,거창군,48880,1037956.8106969999,1746249.016602
경상남도,48,합천군,48890,1060000.534595,1730364.0747009998
제주특별자치도,50,제주시,50110,906410.190924,1498856.251032
제주특별자치도,50,서귀포시,50130,913249.269808,1478029.78281
